temperature,current,SoC,c1
298.15,4.850233554840088,0.9995046681436818,1165.4765881146252
298.15,2.660430431365967,0.9239624755397916,1425.375962717956
298.15,2.660465240478516,0.8133518504862287,92.3105495638793
298.15,2.660435199737549,0.7135669265747956,47.34853182553812
298.15,2.66042423248291,0.6146946225546164,1492.1977124733728
298.15,2.660403251647949,0.5070347214914604,731.1151754944121
298.15,2.660440921783448,0.4265470527477571,1385.0137633873774
298.15,2.6604323387146,0.3324411227518582,432.5148079684321
298.15,2.66036319732666,0.2232497711319085,1421.27498357418
298.15,2.660385608673096,0.1240360664109412,548.5924059155926
