SOC,OCV
0.0,2.5206324250294556
1.0,2.6918769773790667
2.0,2.8174243565635644
3.0,2.9098484928429778
4.0,2.9787894422954255
5.0,3.0315122042462352
6.0,3.0733798539961508
7.0,3.108251382252527
8.0,3.1388136669395172
9.0,3.166856102297431
10.0,3.1934955715491924
11.0,3.219358670144553
12.0,3.244727363982048
13.0,3.269653598406282
14.0,3.2940477565957407
15.0,3.3177452976658612
16.0,3.340555382945419
17.0,3.3622948210334993
18.0,3.382810226061599
19.0,3.4019908867827957
20.0,3.419774484459985
21.0,3.4361474728601373
22.0,3.451141641873939
23.0,3.4648281253226827
24.0,3.4773098813994854
25.0,3.4887134689925428
26.0,3.4991807629874847
27.0,3.5088610947359244
28.0,3.5179041684626853
29.0,3.5264539887760176
30.0,3.5346439370185267
31.0,3.542593053384047
32.0,3.5504035160199456
33.0,3.558159256290401
34.0,3.5659256096070466
35.0,3.5737498724113155
36.0,3.581662616754651
37.0,3.5896796032588565
38.0,3.597804129906833
39.0,3.6060296570234245
40.0,3.6143425569367373
41.0,3.622724849190419
42.0,3.6311567979080936
43.0,3.6396192661378826
44.0,3.648095741951577
45.0,3.656573972009837
46.0,3.6650471595646037
47.0,3.6735147048496097
48.0,3.6819824859664734
49.0,3.6904626972204237
50.0,3.698973278965558
51.0,3.7075369880345566
52.0,3.7161801704284256
53.0,3.7249313079022537
54.0,3.73381941720136
55.0,3.74287238486403
56.0,3.752115321655175
57.0,3.7615690188070134
58.0,3.7712485833670684
59.0,3.7811623222791146
60.0,3.7913109343867215
61.0,3.801687056751828
62.0,3.8122751966622825
63.0,3.823052063969869
64.0,3.8339873002049543
65.0,3.8450445819191477
66.0,3.8561830562437183
67.0,3.86735904754536
68.0,3.878527955709771
69.0,3.889646249969021
70.0,3.900673447882891
71.0,3.911573958001522
72.0,3.922318657820485
73.0,3.9328860767880713
74.0,3.943263058268154
75.0,3.953444785902671
76.0,3.9634340793711695
77.0,3.973239893883542
78.0,3.9828749976538824
79.0,3.9923528537054125
80.0,4.00168379777017
81.0,4.01087068472131
82.0,4.019904272475891
83.0,4.028758727251491
84.0,4.03738776842588
85.0,4.045722126717627
86.0,4.053669168202074
87.0,4.061115739584958
88.0,4.0679355209679375
89.0,4.074002429879599
90.0,4.079211910478536
91.0,4.0835122629272265
92.0,4.086948524251089
93.0,4.089721805940037
94.0,4.092267424853152
95.0,4.095355638342584
96.0,4.100219311683771
97.0,4.108713408700398
98.0,4.123511809588696
99.0,4.148347621285159
100.0,4.1883038642238235
