SOC,OCV
0.0,2.5192515477147985
1.0,2.6871135629137353
2.0,2.810519858052989
3.0,2.901760300988582
4.0,2.9702356359149182
5.0,3.023011939328708
6.0,3.065289465579953
7.0,3.100796329282706
8.0,3.132116495649199
9.0,3.1609606395738137
10.0,3.188387587144579
11.0,3.2149832663771916
12.0,3.241003364589204
13.0,3.266485215260616
14.0,3.2913338148238913
15.0,3.315386297014862
16.0,3.338458666681224
17.0,3.360378113833766
18.0,3.381003789845185
19.0,3.400238528721607
20.0,3.4180336350236624
21.0,3.4343885340895772
22.0,3.4493467875657897
23.0,3.462989715796504
24.0,3.475428636338998
25.0,3.486796522794484
26.0,3.497239708374361
27.0,3.506910102320453
28.0,3.5159582526865405
29.0,3.5245274743528947
30.0,3.5327491648291196
31.0,3.5407393508118297
32.0,3.5485964440701565
33.0,3.556400134562983
34.0,3.564211310340144
35.0,3.5720728663964496
36.0,3.580011246946814
37.0,3.588038556350163
38.0,3.596155071964077
39.0,3.6043519964603785
40.0,3.612614296535946
41.0,3.6209234885311825
42.0,3.6292602483059464
43.0,3.6376067419638334
44.0,3.6459485948623405
45.0,3.6542764380769155
46.0,3.662586993407779
47.0,3.6708836795510877
48.0,3.679176742622209
49.0,3.6874829333509016
50.0,3.6958247705291045
51.0,3.7042294453325386
52.0,3.7127274336285385
53.0,3.721350893125643
54.0,3.730131928976213
55.0,3.7391008151587526
56.0,3.7482842595389476
57.0,3.7577037979564647
58.0,3.767374397071869
59.0,3.7773033371919955
60.0,3.787489434980052
61.0,3.7979226522274447
62.0,3.8085841208796753
63.0,3.819446596803134
64.0,3.830475335592528
65.0,3.841629363801675
66.0,3.85286309859849
67.0,3.8641282488969506
68.0,3.8753759119340487
69.0,3.886558762017294
70.0,3.8976332133952685
71.0,3.9085614277489253
72.0,3.919313029901038
73.0,3.929866393443868
74.0,3.940209362709451
75.0,3.950339289559304
76.0,3.9602622841297186
77.0,3.969991609469865
78.0,3.979545191496306
79.0,3.9889422703164747
80.0,3.9981992868905163
81.0,4.007325182990105
82.0,4.016316392792566
83.0,4.025151923892997
84.0,4.033789064701776
85.0,4.042160416881348
86.0,4.050173136422439
87.0,4.057711477717001
88.0,4.064643973355894
89.0,4.070836850062435
90.0,4.076175580196706
91.0,4.080596801467843
92.0,4.0841332057300885
93.0,4.0869744045182195
94.0,4.089547225743361
95.0,4.092619385430729
96.0,4.097431012300412
97.0,4.105859086038961
98.0,4.120620480456633
99.0,4.145519988249123
100.0,4.185750443346259
