SOC,OCV
0.0,2.530047076903754
1.0,2.6990112388481995
2.0,2.824260009109228
3.0,2.9175874211876036
4.0,2.9880585321241964
5.0,3.042527910744761
6.0,3.086078585626197
7.0,3.1223911210834507
8.0,3.1540515878023294
9.0,3.1828063539881444
10.0,3.2097708403976055
11.0,3.2355986557628786
12.0,3.2606168553502983
13.0,3.284932442227034
14.0,3.3085146557989162
15.0,3.331257062950633
16.0,3.3530229813415002
17.0,3.373677319818726
18.0,3.3931075152952714
19.0,3.4112358766478654
20.0,3.428025312125818
21.0,3.4434801153839203
22.0,3.457643214579923
23.0,3.4705910470838397
24.0,3.482427007363513
25.0,3.4932742257268883
26.0,3.5032682690622123
27.0,3.5125502098234236
28.0,3.5212603846208808
29.0,3.529533057310487
30.0,3.537492111903127
31.0,3.5452478264686262
32.0,3.5528947190720244
33.0,3.560510409299848
34.0,3.5681554028079874
35.0,3.5758736803117444
36.0,3.583693955355218
37.0,3.591631455912583
38.0,3.5996900823194915
39.0,3.607864797189786
40.0,3.616144110887265
41.0,3.6245125378912606
42.0,3.632952914175712
43.0,3.6414484827267297
44.0,3.6499846728244556
45.0,3.6585505180369413
46.0,3.6671396774005767
47.0,3.675751043439325
48.0,3.6843889389914186
49.0,3.6930629218335036
50.0,3.7017872314196767
51.0,3.7105799253672225
52.0,3.7194617643303998
53.0,3.7284549124136515
54.0,3.737581526101618
55.0,3.7468623077389993
56.0,3.7563150998326074
57.0,3.7659535938551674
58.0,3.775786221916731
59.0,3.7858152917212884
60.0,3.7960364148305485
61.0,3.806438265687766
62.0,3.817002694340764
63.0,3.8277051997649285
64.0,3.838515753500033
65.0,3.8493999453966614
66.0,3.860320405315661
67.0,3.8712384369207227
68.0,3.882115783227755
69.0,3.8929164287117146
70.0,3.903608330545454
71.0,3.914164962490159
72.0,3.92456655020323
73.0,3.934800876941361
74.0,3.9448635451102887
75.0,3.954757592436818
76.0,3.9644923833466503
77.0,3.9740817270399997
78.0,3.983541215403134
79.0,3.9928848272968214
80.0,4.002120912208349
81.0,4.011247747396996
82.0,4.020248959672873
83.0,4.029089217326305
84.0,4.037710731112595
85.0,4.046031257455833
86.0,4.053944472951915
87.0,4.061323789851336
88.0,4.06803090803339
89.0,4.0739306524486985
90.0,4.0789139282774975
91.0,4.082930940481509
92.0,4.086037172130043
93.0,4.088454999409093
94.0,4.090654242213568
95.0,4.093455409481204
96.0,4.098159902498733
97.0,4.106711983984193
98.0,4.121897917467643
99.0,4.147588321426537
100.0,4.189030478670996
