SOC,OCV
0.0,2.5031676751427194
1.0,2.699464122099333
2.0,2.834200331553445
3.0,2.9274695603204437
4.0,2.993729947874624
5.0,3.0431142867273513
6.0,3.0824902333336013
7.0,3.1163094869239507
8.0,3.1472797393470575
9.0,3.1768889195201924
10.0,3.205807391095335
11.0,3.2341902824658533
12.0,3.261899006582767
13.0,3.2886582378186726
14.0,3.3141621291615904
15.0,3.3381413514125913
16.0,3.3604005940662303
17.0,3.3808344636025036
18.0,3.399428228580769
19.0,3.416248572874662
20.0,3.4314284103760033
21.0,3.445148869329337
22.0,3.4576207559612344
23.0,3.4690671400590665
24.0,3.4797081554122693
25.0,3.489748662274296
26.0,3.499369064856568
27.0,3.5087193028292294
28.0,3.5179158312266585
29.0,3.5270412582096404
30.0,3.5361462157790204
31.0,3.545252986500808
32.0,3.554360392033628
33.0,3.563449459929152
34.0,3.5724894176278372
35.0,3.5814436112935866
36.0,3.590275007231469
37.0,3.598951000798852
38.0,3.607447328226332
39.0,3.6157509473968954
40.0,3.6238618216741916
41.0,3.631793604128621
42.0,3.6395732761660913
43.0,3.6472398432694386
44.0,3.6548422303695984
45.0,3.6624365495985067
46.0,3.6700829336369845
47.0,3.677842138492122
48.0,3.685772120711441
49.0,3.693924786223312
50.0,3.702343091991823
51.0,3.7110586584158733
52.0,3.7200900210444177
53.0,3.729441615847827
54.0,3.7391035544382976
55.0,3.7490522056503464
56.0,3.759251559146797
57.0,3.7696553068315057
58.0,3.7802095401733
59.0,3.790855927455044
60.0,3.8015352061075953
61.0,3.8121908023161937
62.0,3.822772374954684
63.0,3.8332390736788122
64.0,3.8435623032601263
65.0,3.8537277978963482
66.0,3.8637368311810834
67.0,3.873606419262874
68.0,3.8833684161940387
69.0,3.8930674519096833
70.0,3.902757721933204
71.0,3.912498704541143
72.0,3.922349952575309
73.0,3.932365181300843
74.0,3.9425859492418693
75.0,3.9530353006168504
76.0,3.963711804126024
77.0,3.9745844781217947
78.0,3.9855891312282985
79.0,3.9966266672058213
80.0,4.007563893579767
81.0,4.018237331875261
82.0,4.028460444693775
83.0,4.038034560024263
84.0,4.046763584343935
85.0,4.054472335495754
86.0,4.061027987770975
87.0,4.066363694179485
88.0,4.070502920892104
89.0,4.073582379676065
90.0,4.07587067245053
91.0,4.077778837369278
92.0,4.079857906951721
93.0,4.082777326249859
94.0,4.087276627994758
95.0,4.094081083936844
96.0,4.103770151666804
97.0,4.1165853683367235
98.0,4.132161899874813
99.0,4.149165207710506
100.0,4.164811220961411
