current,voltage,temperature,r0,r1,c1,SoC
4.850397109985352,4.186875343322754,298.15,0.023072265322900673,0.015878826915086994,279.86760066254095,100.0
2.6603264808654785,4.088156700134277,298.15,0.02633647552527894,0.010072458574644744,645.5443789179127,89.97192262101146
2.6602625846862797,4.014562129974365,298.15,0.008549776990439425,0.020554952911641344,70.38659376134815,79.90225226062543
2.6603078842163086,3.9175500869750977,298.15,0.026526647761241334,0.002125367635439298,630.3223286712994,69.83261560110155
2.660313606262207,3.809469699859619,298.15,0.02329901342758462,0.007986553109037264,232.66496740351238,59.76298751973068
2.660306930541992,3.704679489135742,298.15,0.02954911745750628,0.014727672772136931,1469.833190570718,49.69324005155356
2.6602606773376465,3.6352505683898926,298.15,0.031394505666757604,0.016613601549867255,529.5468281036049,39.62340015725992
2.660287857055664,3.554823160171509,298.15,0.03210824779537959,0.023694038254753077,423.721607319426,29.553409076092024
2.6602354049682617,3.456857204437256,298.15,0.02594179337183508,0.025868672622160367,540.7336864703914,19.483357816763885
2.66025447845459,3.2496132850646973,298.15,0.04750445865562276,0.03970495553501202,133.12778924059597,9.413351501932397
