Time,Voltage,Current
0,4.186875343322754,0.0
1,4.01168966293335,-4.850397109985352
2,4.006130695343018,-4.850405216217041
3,4.00184965133667,-4.850367546081543
4,3.9982380867004395,-4.8504791259765625
5,3.9949984550476074,-4.850411891937256
6,3.992075204849243,-4.85042667388916
7,3.9894301891326904,-4.850459098815918
8,3.986889362335205,-4.850419998168945
9,3.984544277191162,-4.850457191467285
10,3.982316493988037,-4.850400924682617
11,3.980276346206665,-4.850399971008301
12,3.9783143997192383,-4.850400924682617
13,3.9765465259552,-4.850435256958008
14,3.9746923446655273,-4.8505048751831055
15,3.9728479385375977,-4.850452423095703
16,3.9713633060455322,-4.8504438400268555
17,3.9697864055633545,-4.850411891937256
18,3.9680793285369873,-4.850462436676025
19,3.9666781425476074,-4.850371360778809
20,3.965230941772461,-4.850438117980957
21,3.9638609886169434,-4.850478172302246
22,3.962602376937866,-4.850400924682617
23,3.9611897468566895,-4.850444793701172
24,3.9599807262420654,-4.850468158721924
25,3.9586567878723145,-4.8504228591918945
26,3.957536458969116,-4.850521564483643
27,3.956303834915161,-4.850062847137451
28,3.9552459716796875,-4.850071430206299
29,3.954012632369995,-4.8500752449035645
30,3.952927827835083,-4.850089073181152
31,3.951918601989746,-4.850116729736328
32,3.9507858753204346,-4.850080490112305
33,3.9498367309570312,-4.85008430480957
34,3.9486753940582275,-4.8500518798828125
35,3.9478766918182373,-4.850057601928711
36,3.946808338165283,-4.850048065185547
37,3.9458730220794678,-4.850073337554932
38,3.944986343383789,-4.850071430206299
39,3.94390606880188,-4.8500752449035645
40,3.943027973175049,-4.8500518798828125
41,3.942143201828003,-4.850073337554932
42,3.941291332244873,-4.850116729736328
43,3.9404289722442627,-4.85009765625
44,3.9395649433135986,-4.850123882293701
45,3.938861846923828,-4.850066661834717
46,3.937875986099243,-4.850092887878418
47,3.9371094703674316,-4.850128650665283
48,3.9363811016082764,-4.850090026855469
49,3.9356212615966797,-4.850106239318848
50,3.934730291366577,-4.850110054016113
51,3.9340107440948486,-4.850123882293701
52,3.9331448078155518,-4.8501081466674805
53,3.93251895904541,-4.850090980529785
54,3.931675910949707,-4.850088119506836
55,3.9311742782592773,-4.85011100769043
56,3.9303486347198486,-4.850110054016113
57,3.929591417312622,-4.8501296043396
58,3.929206371307373,-4.850089073181152
59,3.928330183029175,-4.850100517272949
60,3.92760968208313,-4.850080490112305
61,3.9269142150878906,-4.850091934204102
62,3.9263274669647217,-4.850141525268555
63,3.925711154937744,-4.850121974945068
64,3.9250800609588623,-4.850096702575684
65,3.9243578910827637,-4.85015869140625
66,3.9238624572753906,-4.850122928619385
67,3.9232711791992188,-4.8501434326171875
68,3.9225802421569824,-4.8501296043396
69,3.9219682216644287,-4.850161552429199
70,3.921403408050537,-4.850091934204102
71,3.9207592010498047,-4.850106239318848
72,3.920231580734253,-4.850078582763672
73,3.9196901321411133,-4.850154876708984
74,3.9191625118255615,-4.8501296043396
75,3.9186322689056396,-4.850121021270752
76,3.91802716255188,-4.850114822387695
77,3.9175527095794678,-4.850106239318848
78,3.9169538021087646,-4.850095748901367
79,3.9163877964019775,-4.8501482009887695
80,3.915855884552002,-4.850035667419434
81,3.9153003692626953,-4.8501200675964355
82,3.914963960647583,-4.850185871124268
83,3.914454698562622,-4.850149154663086
84,3.913886070251465,-4.850111961364746
85,3.9133968353271484,-4.850160598754883
86,3.9129605293273926,-4.8501434326171875
87,3.912562370300293,-4.850201606750488
88,3.912026882171631,-4.85012674331665
89,3.9114696979522705,-4.850122928619385
90,3.910998582839966,-4.850140571594238
91,3.910588264465332,-4.850101470947266
92,3.9100685119628906,-4.850132942199707
93,3.909747838973999,-4.850063800811768
94,3.909146308898926,-4.850150108337402
95,3.9087767601013184,-4.8501176834106445
96,3.9083683490753174,-4.850124835968018
97,3.9079623222351074,-4.850124835968018
98,3.907546043395996,-4.850128650665283
99,3.9070444107055664,-4.850130558013916
100,3.9067089557647705,-4.850096702575684
101,3.9063637256622314,-4.85017204284668
102,3.9058926105499268,-4.850141525268555
103,3.9053823947906494,-4.850081443786621
104,3.904959201812744,-4.850095748901367
105,3.904608964920044,-4.85013484954834
106,3.9041316509246826,-4.850121021270752
107,3.903843879699707,-4.8501386642456055
108,3.903425931930542,-4.850102424621582
109,3.9030261039733887,-4.850121974945068
110,3.902647018432617,-4.850089073181152
111,3.902194023132324,-4.850086212158203
112,3.9018959999084473,-4.850109100341797
113,3.9015204906463623,-4.850119113922119
114,3.901062488555908,-4.850170135498047
115,3.900869369506836,-4.850167274475098
116,3.900449514389038,-4.8501386642456055
117,3.9001071453094482,-4.850064754486084
118,3.899686336517334,-4.850066661834717
119,3.8992769718170166,-4.850132942199707
120,3.898982286453247,-4.850139617919922
121,3.8985607624053955,-4.8501176834106445
122,3.8982105255126953,-4.850119113922119
123,3.8978888988494873,-4.850150108337402
124,3.8975436687469482,-4.850090026855469
125,3.897243022918701,-4.850119113922119
126,3.8969013690948486,-4.850121974945068
127,3.896540641784668,-4.850122928619385
128,3.896289348602295,-4.850147247314453
129,3.895864486694336,-4.850132942199707
130,3.8954811096191406,-4.85014533996582
131,3.895228147506714,-4.850162506103516
132,3.8948752880096436,-4.85009765625
133,3.89441180229187,-4.850123882293701
134,3.8942816257476807,-4.850142478942871
135,3.8940529823303223,-4.850123882293701
136,3.8935139179229736,-4.850107192993164
137,3.8932714462280273,-4.850135803222656
138,3.892881155014038,-4.85013484954834
139,3.8926377296447754,-4.8501482009887695
140,3.8923275470733643,-4.8500518798828125
141,3.892071008682251,-4.8501176834106445
142,3.8918025493621826,-4.850083351135254
143,3.891505241394043,-4.850154876708984
144,3.89125394821167,-4.850123882293701
145,3.890883684158325,-4.850136756896973
146,3.8905863761901855,-4.85017204284668
147,3.890282154083252,-4.850141525268555
148,3.8900022506713867,-4.850140571594238
149,3.8897197246551514,-4.850113868713379
150,3.8893113136291504,-4.85017728805542
151,3.8891513347625732,-4.850150108337402
152,3.8888375759124756,-4.850146293640137
153,3.8886845111846924,-4.8500752449035645
154,3.888282060623169,-4.850127696990967
155,3.8878986835479736,-4.850198745727539
156,3.8874833583831787,-4.8500823974609375
157,3.8874197006225586,-4.850099563598633
158,3.8871078491210938,-4.850161552429199
159,3.8867547512054443,-4.850104331970215
160,3.886559247970581,-4.850090980529785
161,3.8865044116973877,-4.850090026855469
162,3.885881185531616,-4.850153923034668
163,3.8857057094573975,-4.850147247314453
164,3.8855152130126953,-4.85012674331665
165,3.8851258754730225,-4.850136756896973
166,3.885010242462158,-4.850152015686035
167,3.8845834732055664,-4.8501176834106445
168,3.8844122886657715,-4.8501200675964355
169,3.8842263221740723,-4.850121021270752
170,3.883840322494507,-4.850150108337402
171,3.8834779262542725,-4.8501129150390625
172,3.883345603942871,-4.850114822387695
173,3.883031129837036,-4.850092887878418
174,3.8827719688415527,-4.850124835968018
175,3.882570266723633,-4.850146293640137
176,3.882234811782837,-4.850159645080566
177,3.8819758892059326,-4.850132942199707
178,3.8817367553710938,-4.85011100769043
179,3.8815724849700928,-4.850105285644531
180,3.8812942504882812,-4.850146293640137
181,3.8810901641845703,-4.850142478942871
182,3.880737066268921,-4.850152015686035
183,3.880452871322632,-4.85017204284668
184,3.8802921772003174,-4.850099563598633
185,3.8800313472747803,-4.850136756896973
186,3.879688024520874,-4.850135803222656
187,3.8796610832214355,-4.850107192993164
188,3.879232406616211,-4.850085258483887
189,3.8790483474731445,-4.850115776062012
190,3.8788769245147705,-4.850093841552734
191,3.8786492347717285,-4.850123882293701
192,3.8783085346221924,-4.850121974945068
193,3.8780486583709717,-4.850161552429199
194,3.8777878284454346,-4.850113868713379
195,3.8776540756225586,-4.850151062011719
196,3.877347230911255,-4.850099563598633
197,3.8769724369049072,-4.850124835968018
198,3.876894235610962,-4.850098609924316
199,3.876699686050415,-4.8501386642456055
200,3.8764283657073975,-4.850163459777832
201,3.8761353492736816,-4.8501296043396
202,3.8759572505950928,-4.850033760070801
203,3.8757643699645996,-4.850104331970215
204,3.8755009174346924,-4.850167274475098
205,3.8751914501190186,-4.850128650665283
206,3.875087261199951,-4.850130558013916
207,3.8748202323913574,-4.85017728805542
208,3.8745534420013428,-4.850159645080566
209,3.874329090118408,-4.850136756896973
210,3.8740909099578857,-4.850076675415039
211,3.873777151107788,-4.850144386291504
212,3.873671054840088,-4.850191116333008
213,3.873370409011841,-4.850135803222656
214,3.873185157775879,-4.8501081466674805
215,3.872968912124634,-4.8500871658325195
216,3.8726723194122314,-4.850115776062012
217,3.872579336166382,-4.850121974945068
218,3.872328281402588,-4.85011100769043
219,3.8720579147338867,-4.850090026855469
220,3.8719561100006104,-4.850136756896973
221,3.871537208557129,-4.850162506103516
222,3.871363401412964,-4.850127696990967
223,3.8711068630218506,-4.850161552429199
224,3.8709566593170166,-4.850168228149414
225,3.87070631980896,-4.8501200675964355
226,3.8705098628997803,-4.850170135498047
227,3.8703725337982178,-4.850113868713379
228,3.870236873626709,-4.850128650665283
229,3.869673490524292,-4.850105285644531
230,3.869629144668579,-4.850088119506836
231,3.8694841861724854,-4.850080490112305
232,3.869112968444824,-4.850152015686035
233,3.8690025806427,-4.850128650665283
234,3.8688087463378906,-4.8501386642456055
235,3.8686556816101074,-4.850103378295898
236,3.8684000968933105,-4.850098609924316
237,3.8682706356048584,-4.850111961364746
238,3.867922067642212,-4.850092887878418
239,3.867785692214966,-4.850131511688232
240,3.867431879043579,-4.850105285644531
241,3.867295265197754,-4.850127696990967
242,3.867079734802246,-4.85013484954834
243,3.8669111728668213,-4.850131511688232
244,3.8667538166046143,-4.850127696990967
245,3.8664164543151855,-4.85004997253418
246,3.8663408756256104,-4.850083351135254
247,3.866018533706665,-4.850090026855469
248,3.8658175468444824,-4.850156784057617
249,3.8656187057495117,-4.850153923034668
250,3.8654890060424805,-4.850086212158203
251,3.865164041519165,-4.850121974945068
252,3.8649580478668213,-4.85011100769043
253,3.864704132080078,-4.85012674331665
254,3.8645763397216797,-4.8501129150390625
255,3.8645033836364746,-4.850171089172363
256,3.864102602005005,-4.8501081466674805
257,3.8638689517974854,-4.850116729736328
258,3.863772392272949,-4.850105285644531
259,3.8635966777801514,-4.850128650665283
260,3.8631646633148193,-4.850161552429199
261,3.863051652908325,-4.850123882293701
262,3.862985610961914,-4.850092887878418
263,3.8627841472625732,-4.850116729736328
264,3.8626554012298584,-4.850111961364746
265,3.862391233444214,-4.8501129150390625
266,3.8622000217437744,-4.850164413452148
267,3.8619260787963867,-4.8500752449035645
268,3.861787796020508,-4.8501200675964355
269,3.8615705966949463,-4.850102424621582
270,3.8612992763519287,-4.850140571594238
271,3.861130714416504,-4.850122928619385
272,3.860854387283325,-4.8501200675964355
273,3.860705614089966,-4.850163459777832
274,3.8604440689086914,-4.850106239318848
275,3.8603014945983887,-4.850172996520996
276,3.859903335571289,-4.850141525268555
277,3.8599233627319336,-4.850113868713379
278,3.859692096710205,-4.8500823974609375
279,3.8595471382141113,-4.850116729736328
280,3.8593297004699707,-4.850144386291504
281,3.8590662479400635,-4.850083351135254
282,3.8588595390319824,-4.850172996520996
283,3.858799457550049,-4.850073337554932
284,3.8585257530212402,-4.850127696990967
285,3.858358860015869,-4.850115776062012
286,3.8582587242126465,-4.850151062011719
287,3.857959032058716,-4.850127696990967
288,3.8576416969299316,-4.8501081466674805
289,3.8576278686523438,-4.850076675415039
290,3.8573105335235596,-4.850121974945068
291,3.8572113513946533,-4.850136756896973
292,3.8569045066833496,-4.8501691818237305
293,3.856714963912964,-4.850095748901367
294,3.8565151691436768,-4.850137710571289
295,3.85640811920166,-4.850115776062012
296,3.8562240600585938,-4.850183963775635
297,3.8559458255767822,-4.8501386642456055
