Time,Voltage,Current,SoC
16160,3.8113889694213867,-0.0,0.6146946225546164
16161,3.721605062484741,2.66042423248291,0.5223823377290807
16162,3.719067096710205,2.6604371070861816,0.5195424847651336
16163,3.7170894145965576,2.660501003265381,0.517329560355933
16164,3.7154335975646973,2.6601452827453613,0.515476786393076
16165,3.713832378387451,2.6601080894470215,0.5136682603039082
16166,3.7124929428100586,2.6601181030273438,0.5121522849938024
16167,3.7112786769866943,2.6601033210754395,0.5107779770097567
16168,3.710049629211426,2.6600685119628906,0.5093869387891096
16169,3.7090413570404053,2.660104274749756,0.5082457747473799
16170,3.7079522609710693,2.660097599029541,0.5070131340893942
16171,3.7079522609710693,2.660097599029541,0.5070131340893942
16172,3.7967259883880615,-0.0,0.6006460977772394
16173,3.7981836795806885,-0.0,0.6020570128307741
16174,3.798952102661133,-0.0,0.6028007778320077
16175,3.799736976623535,-0.0,0.6035604658196159
16176,3.8002357482910156,-0.0,0.6040432323050582
16177,3.8005974292755127,-0.0,0.6043933072373795
16178,3.8009486198425293,-0.0,0.604733228381288
16179,3.8012468814849854,-0.0,0.6050219190472959
16180,3.801564931869507,-0.0,0.6053297634505368
16181,3.8018290996551514,-0.0,0.6055854543042032
16182,3.8020682334899902,-0.0,0.6058169145264302
16183,3.8021976947784424,-0.0,0.6059422215061602
16184,3.802544593811035,-0.0,0.6062744243790511
16185,3.802616596221924,-0.0,0.6063429735447029
16186,3.8027939796447754,-0.0,0.6065118496349181
16187,3.8028852939605713,-0.0,0.6065987845039401
16188,3.8030643463134766,-0.0,0.6067692494821009
16189,3.8032772541046143,-0.0,0.6069719461871574
16190,3.8032164573669434,-0.0,0.6069140652691402
16191,3.803403377532959,-0.0,0.6070920207190442
16192,3.8035833835601807,-0.0,0.6072633936331738
16193,3.803607702255249,-0.0,0.6072865460003808
16194,3.803767442703247,-0.0,0.6074386252751712
16195,3.8038432598114014,-0.0,0.6075108061846988
16196,3.803950071334839,-0.0,0.6076124950132153
16197,3.804130792617798,-0.0,0.6077845488793217
16198,3.8042283058166504,-0.0,0.6078773853321415
16199,3.804255247116089,-0.0,0.6079030345232629
16200,3.8043768405914307,-0.0,0.6080187963592975
16201,3.8043620586395264,-0.0,0.6080047233517796
16202,3.804450750350952,-0.0,0.6080891613968871
16203,3.8045969009399414,-0.0,0.6082283025841208
16204,3.8045742511749268,-0.0,0.6082067391048595
16205,3.8048436641693115,-0.0,0.6084632310160734
16206,3.8048183917999268,-0.0,0.6084391707128975
16207,3.8048505783081055,-0.0,0.6084698135518478
16208,3.80487322807312,-0.0,0.6084913770311091
16209,3.8049192428588867,-0.0,0.6085351849416085
16210,3.8049192428588867,-0.0,0.6085351849416085
16211,3.8051540851593018,-0.0,0.6087587641739498
16212,3.805157423019409,-0.0,0.6087619419498409
16213,3.8724682331085205,-2.0002355575561523,0.6711334629193595
16214,3.874406576156616,-2.0002498626708984,0.6729126100156002
16215,3.8758606910705566,-2.000225067138672,0.6742472985937025
16216,3.8770923614501953,-2.0002479553222656,0.6753778119884356
16217,3.878154754638672,-2.0002384185791016,0.6763529509135092
16218,3.879235029220581,-2.0002212524414062,0.6773480219526354
16219,3.879973888397217,-2.0002317428588867,0.6780303363648694
16220,3.880833625793457,-2.000260353088379,0.6788242782075657
16221,3.881638526916504,-2.000237464904785,0.6795675803875276
16222,3.8820531368255615,-2.000277519226074,0.6799504602722888
16223,3.882096529006958,-2.000277519226074,0.6799905316575829
16224,3.8154561519622803,-0.0,0.6185329519873761
16225,3.8145008087158203,-0.0,0.617636205374617
16226,3.813758611679077,-0.0,0.6169395315025136
16227,3.813377857208252,-0.0,0.6165821308684791
16228,3.8130075931549072,-0.0,0.6162345772149691
16229,3.812763214111328,-0.0,0.6160029582857992
16230,3.812692880630493,-0.0,0.615935998008093
16231,3.812411308288574,-0.0,0.6156679299132756
16232,3.812230348587036,-0.0,0.6154956490631771
16233,3.812281608581543,-0.0,0.6155444506215054
16234,3.8120036125183105,-0.0,0.6152797872865715
16235,3.8118374347686768,-0.0,0.6151215794439909
16236,3.8118035793304443,-0.0,0.615089347717095
16237,3.81168270111084,-0.0,0.6149742668330371
16238,3.81158709526062,-0.0,0.6148832462521551
16239,3.8116114139556885,-0.0,0.6149063986193619
16240,3.8115828037261963,-0.0,0.614879160540295
16241,3.8116567134857178,-0.0,0.6149495255778846
16242,3.811368942260742,-0.0,0.6146755558992695
16243,3.8115010261535645,-0.0,0.614801305030962
16244,3.8114523887634277,-0.0,0.6147550002965481
16245,3.811439275741577,-0.0,0.6147425161769757
16246,3.81123948097229,-0.0,0.6145523035914915
16247,3.811229944229126,-0.0,0.6145432242318025
16248,3.811281204223633,-0.0,0.6145920257901308
16249,3.811267375946045,-0.0,0.6145788607185818
16250,3.8111655712127686,-0.0,0.6144819385539019
16251,3.811170816421509,-0.0,0.6144869322017308
16252,3.811201333999634,-0.0,0.6145159861527355
16253,3.811103105545044,-0.0,0.614422468747939
16254,3.811079502105713,-0.0,0.6143999973327088
16255,3.811123847961426,-0.0,0.6144422163552625
16256,3.8110716342926025,-0.0,0.6143925068609654
16257,3.811072587966919,-0.0,0.6143934147969342
16258,3.8110978603363037,-0.0,0.61441747510011
16259,3.8110883235931396,-0.0,0.614408395740421
16260,3.811068296432495,-0.0,0.6143893290850742
16261,3.811051607131958,-0.0,0.6143734402056185
16262,3.81113862991333,-0.0,0.6144562893627805
16263,3.811065673828125,-0.0,0.6143868322611598
16264,3.8111090660095215,-0.0,0.6144281433477446
