Time_S,Voltage_V,Current_A
16724,3.676525115966797,0.0
16725,3.676666736602783,0.0
16726,3.676865816116333,0.0
16727,3.6771013736724854,0.0
16728,3.67732310295105,0.0
16729,3.677576780319214,0.0
16730,3.677614212036133,0.0
16731,3.6778855323791504,0.0
16732,3.678098440170288,0.0
16733,3.6782538890838623,0.0
16734,3.678384304046631,0.0
16735,3.67866849899292,0.0
16736,3.6787919998168945,0.0
16737,3.679049253463745,0.0
16738,3.679158926010132,0.0
16739,3.679325819015503,0.0
16740,3.679603099822998,0.0
16741,3.679807186126709,0.0
16742,3.679901123046875,0.0
16743,3.680067300796509,0.0
16744,3.6803219318389893,0.0
16745,3.680340051651001,0.0
16746,3.680497407913208,0.0
16747,3.6807913780212402,0.0
16748,3.680870294570923,0.0
16749,3.6810641288757324,0.0
16750,3.6812379360198975,0.0
16751,3.6814074516296387,0.0
16752,3.6817612648010254,0.0
16753,3.681661367416382,0.0
16754,3.6817779541015625,0.0
16755,3.6820733547210693,0.0
16756,3.682082176208496,0.0
16757,3.6822662353515625,0.0
16758,3.6824748516082764,0.0
16759,3.6825244426727295,0.0
16760,3.682663679122925,0.0
16761,3.682847023010254,0.0
16762,3.683079957962036,0.0
16763,3.6831624507904053,0.0
16764,3.6832380294799805,0.0
16765,3.68339467048645,0.0
16766,3.6835103034973145,0.0
16767,3.6837031841278076,0.0
16768,3.683795213699341,0.0
16769,3.683901309967041,0.0
16770,3.6840925216674805,0.0
16771,3.68414306640625,0.0
16772,3.684389114379883,0.0
16773,3.684509038925171,0.0
16774,3.684561014175415,0.0
16775,3.6846871376037598,0.0
16776,3.6848080158233643,0.0
16777,3.6849539279937744,0.0
16778,3.685074806213379,0.0
16779,3.6852972507476807,0.0
16780,3.685168743133545,0.0
16781,3.685512065887451,0.0
16782,3.6853678226470947,0.0
16783,3.6856555938720703,0.0
16784,3.6856842041015625,0.0
16785,3.686004877090454,0.0
16786,3.685991048812866,0.0
16787,3.686154365539551,0.0
16788,3.6862568855285645,0.0
16789,3.6863908767700195,0.0
16790,3.686507225036621,0.0
16791,3.686657667160034,0.0
16792,3.6866307258605957,0.0
16793,3.6868350505828857,0.0
16794,3.6868906021118164,0.0
16795,3.6867637634277344,0.0
16796,3.687095880508423,0.0
16797,3.687074899673462,0.0
16798,3.687346935272217,0.0
16799,3.6873931884765625,0.0
16800,3.6873791217803955,0.0
16801,3.6875407695770264,0.0
16802,3.687626838684082,0.0
16803,3.687748670578003,0.0
16804,3.6878867149353027,0.0
16805,3.687919855117798,0.0
16806,3.6880345344543457,0.0
16807,3.6881797313690186,0.0
16808,3.6882553100585938,0.0
16809,3.6883387565612793,0.0
16810,3.688540458679199,0.0
16811,3.688638687133789,0.0
16812,3.688636064529419,0.0
16813,3.688673496246338,0.0
16814,3.688782215118408,0.0
16815,3.68880033493042,0.0
16816,3.6889655590057373,0.0
16817,3.689000368118286,0.0
16818,3.6890690326690674,0.0
16819,3.689234972000122,0.0
16820,3.689094066619873,0.0
16821,3.6893157958984375,0.0
16822,3.6894547939300537,0.0
16823,3.6894869804382324,0.0
16824,3.6896538734436035,0.0
16825,3.689631462097168,0.0
16826,3.6898999214172363,0.0
16827,3.6899895668029785,0.0
16828,3.6899712085723877,0.0
16829,3.6900382041931152,0.0
16830,3.6901121139526367,0.0
16831,3.6901702880859375,0.0
16832,3.690246820449829,0.0
16833,3.690364122390747,0.0
16834,3.69040584564209,0.0
16835,3.6905744075775146,0.0
16836,3.690594434738159,0.0
16837,3.690687417984009,0.0
16838,3.6907432079315186,0.0
16839,3.690558910369873,0.0
16840,3.6909055709838867,0.0
16841,3.690924882888794,0.0
16842,3.6910037994384766,0.0
16843,3.6911559104919434,0.0
16844,3.6910359859466553,0.0
16845,3.691267251968384,0.0
16846,3.691235065460205,0.0
16847,3.6912758350372314,0.0
16848,3.6913559436798096,0.0
16849,3.6915314197540283,0.0
16850,3.691317558288574,0.0
16851,3.6916539669036865,0.0
16852,3.6916391849517822,0.0
16853,3.6917574405670166,0.0
16854,3.6917078495025635,0.0
16855,3.691761016845703,0.0
16856,3.6918625831604004,0.0
16857,3.6919972896575928,0.0
16858,3.6919972896575928,0.0
16859,3.6920166015625,0.0
16860,3.6922121047973633,0.0
16861,3.6921963691711426,0.0
16862,3.692183494567871,0.0
16863,3.692338228225708,0.0
16864,3.6922850608825684,0.0
16865,3.692342519760132,0.0
16866,3.6924972534179688,0.0
16867,3.6926536560058594,0.0
16868,3.692535400390625,0.0
16869,3.692549467086792,0.0
16870,3.6927971839904785,0.0
16871,3.692751884460449,0.0
16872,3.6928813457489014,0.0
16873,3.692976951599121,0.0
16874,3.692897081375122,0.0
16875,3.6929891109466553,0.0
16876,3.692953586578369,0.0
16877,3.693089246749878,0.0
16878,3.693222999572754,0.0
16879,3.693190097808838,0.0
16880,3.69331955909729,0.0
16881,3.6931943893432617,0.0
16882,3.693310022354126,0.0
16883,3.6934359073638916,0.0
16884,3.693427324295044,0.0
16885,3.6935298442840576,0.0
16886,3.6935245990753174,0.0
16887,3.6934549808502197,0.0
16888,3.6937167644500732,0.0
16889,3.6936376094818115,0.0
16890,3.693742036819458,0.0
16891,3.6938228607177734,0.0
16892,3.693727970123291,0.0
16893,3.693946123123169,0.0
16894,3.693939208984375,0.0
16895,3.6939749717712402,0.0
16896,3.6940114498138428,0.0
16897,3.6939852237701416,0.0
16898,3.694190502166748,0.0
16899,3.6941721439361572,0.0
16900,3.694051504135132,0.0
16901,3.6941983699798584,0.0
16902,3.6942408084869385,0.0
16903,3.6943695545196533,0.0
16904,3.694260835647583,0.0
16905,3.6943130493164062,0.0
16906,3.694502592086792,0.0
16907,3.694444179534912,0.0
16908,3.69441819190979,0.0
16909,3.6945807933807373,0.0
16910,3.694535493850708,0.0
16911,3.6946189403533936,0.0
16912,3.694650173187256,0.0
16913,3.6947267055511475,0.0
